LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
37;249190140;LESKOWIEC;Skawa (2134);1950;49 47 44;19 26 48;872
38;249190150;STRÓŻA;Raba (2138);1946;49 47 47;19 55 03;330
39;249190170;BOGDANÓWKA;Krzczonówka (213836);1974;49 45 34;19 47 17;812
40;249190190;MAKÓW PODH.;Skawa (2134);1948;49 43 14;19 40 31;416
41;249190210;ŁODYGOWICE;Żylica (213274);1949;49 43 27;19 09 37;375
42;249190220;ŚLEMIEŃ;Łękawica (13498);1965;49 43 03;19 21 11;447
43;249190230;Lubień;Lubieńka (213834);1946;49 43 15;19 58 12;429
44;249190240;LACHOWICE KRALE;Stryszawka (21346);1974;49 41 18;19 25 04;616
45;249190270;Osielec;Skawa (2134);1948;49 40 44;19 44 20;439
46;249190280;KRZECZÓW;Lubieńka (213834);1949;49 41 01;19 54 36;548
47;249190290;Lipowa;Soła (2132);1969;49 39 58;19 04 36;530
48;249190310;Pewel Mała;Koszarawa (21324);1970;49 39 39;19 18 21;425
49;249190320;LUBOŃ WIELKI;Lubieńka (213834);1949;49 39 12;19 59 32;1021
50;249190340;KOSZARAWA;Soła (2132);;49 39 21;19 24 16;595
51;249190350;ZAWOJA;Skawica (21344);1956;49 36 42;19 31 07;697
52;249190380;Kamesznica;Bystra (213232);1948;49 34 12;19 03 52;470
53;249190390;MARKOWE SZCZAWINY;Skawica (21344);2005;49 35 15;19 30 59;1193
54;249190410;MILÓWKA;Soła (2132);1954;49 33 33;19 04 46;485
55;249190420;Żabnica;Żabniczanka (213234);1946;49 33 39;19 11 15;585
56;249190430;SOPOTNIA WIELKA;Koszarawa (21324);1974;49 34 54;19 17 58;745
57;249190440;KORBIELÓW;Koszarawa (21324);1949;49 34 07;19 20 54;650
58;249190460;SPYTKOWICE GÓRNE;Skawa (2134);1968;49 33 52;19 45 42;639
59;249190470;Raba Wyżna;Raba (2138);1951;49 34 00;19 53 03;535
60;249190480;LALIKI;Soła (2132);1975;49 32 41;19 00 58;680
61;249190520;OBIDOWA;Raba (2138);1949;49 32 48;19 57 37;805
62;249190530;PILSKO;Koszarawa (21324);2005;49 32 28;19 19 06;1278
63;249190540;RAJCZA;Soła (2132);1947;49 30 22;19 06 19;495
64;249190560;JABŁONKA;Piekielnik (82224);1947;49 28 20;19 41 45;614
65;249190610;RATUŁÓW;Wielki Rogoźnik (214116);1990;49 23 30;19 53 01;679
66;249190620;BAŃSKA WYŻNA;Biały Dunajec (21412);1947;49 23 03;19 58 24;896
67;249190630;WITÓW;Dunajec (214);1995;49 19 39;19 49 30;822
